"k","sil"
2,0.258744710044229
3,0.257706663520299
4,0.279873758022518
5,0.187728506713416
6,0.195481775638981
7,0.143994843280866
8,0.1424934510628
9,0.141053814947875
10,0.189464221222759
11,0.1390816460599
12,0.146029028558436
