"method","wcss","sil_mean"
"gmm",3629.38933141799,0.127960293202065
"hierarchical",3987.02209933431,0.27513410594134
"kmeans",3969.66387155006,0.279873758022518
"spectral",3902.7507729848,0.279138865277003
