"variable","importance"
"ar",97.0160438269704
"hp5",77.2834652594343
"hp_growth",38.0148981735801
"hp5_growth",29.2956278143824
"as_growth",26.0757331061723
"ms",25.6337794263168
"mr",15.4633383240894
"ar_growth",10.5589652724707
"mp5",10.0055986398706
"ad_growth",-6.7831037087617
"hp",-12.565179174353
"ad",-18.5991314443431
"mr_growth",-20.4339660241544
"mp",-46.4098643273705
"mp5_growth",-46.9800583543506
"as",-54.4275589585968
"range",-74.042597888099
"mp_growth",-99.4563085833665
