"method","ari_role","nmi_role"
"gmm",0.182067563326221,0.261394471875662
"hierarchical",0.110203748448651,0.167511083855678
"kmeans",0.117179270960909,0.173585108969886
"spectral",0.110495730289394,0.16904258007042
